slug,zh,en,scope,note
ios_core.invalid_response_missing_answer,返回格式异常:缺少 answer,Invalid response: missing answer,ios_core,
ios_core.invalid_response_missing_memory,返回格式异常:缺少 memory,Invalid response: missing memory,ios_core,
ios_core.invalid_response_missing_preferences,返回格式异常:缺少 preferences,Invalid response: missing preferences,ios_core,
ios_core.invalid_response_format,返回格式异常,Invalid response format,ios_core,
ios_core.invalid_endpoint_check_your_ai_provider,"无效的服务地址,请到「设置」里检查 AI 服务商配置。",Invalid endpoint. Check your AI provider settings.,ios_core,
ios_core.invalid_response_title_is_empty,返回格式异常:标题为空,Invalid response: title is empty,ios_core,
ios_core.invalid_time_format,时间点格式异常:,Invalid time format: ,ios_core,后接原始时间字符串
ios_core.invalid_response_duration_out_of_range,返回格式异常:时长超出范围,Invalid response: duration out of range,ios_core,
ios_core.invalid_response_weekday_out_of_range,返回格式异常:周几超出范围,Invalid response: weekday out of range,ios_core,
ios_core.tavily_api_key_not_configured_set_it_up,"未配置 Tavily API key,请到「设置」里填写。",Tavily API key not configured. Set it up in Settings.,ios_core,
ios_core.web_search_failed,联网搜索失败:,Web search failed: ,ios_core,"前缀,后接原始错误信息"
ios_core.apple_intelligence_available_no_key,"苹果智能可用:免 key、离线,数据不出设备。","Apple Intelligence available: no key needed, offline, data stays on device.",ios_core,
ios_core.this_device_doesn_t_support_apple,此设备不支持苹果智能。,This device doesn't support Apple Intelligence.,ios_core,
ios_core.turn_on_apple_intelligence_in_settings,请先在系统设置中开启 Apple Intelligence。,Turn on Apple Intelligence in Settings first.,ios_core,
ios_core.the_apple_intelligence_model_is_getting,"苹果智能模型准备中,请稍后再试。",The Apple Intelligence model is getting ready—try again shortly.,ios_core,
ios_core.apple_intelligence_is_currently,苹果智能暂不可用。,Apple Intelligence is currently unavailable.,ios_core,
ios_core.no_weekday_selected,未选择星期,No weekday selected,ios_core,
ios_notif.time_s_up_please_take_care_of_it,"到时间了,请处理。","Time's up, please take care of it.",ios_notif,
ios_notif.time_to_start_set_aside_d_minutes,"该开始了,请预留 %d 分钟。",Time to start—set aside %d minutes.,ios_notif,
ios_notif.time_s_up_please_confirm_it_s_done,"时间已到,请确认完成情况。",Time's up—please confirm it's done.,ios_notif,
ios_notif.time_s_up_don_t_forget,"到时间啦,别忘了哦~","Time's up, don't forget~",ios_notif,
ios_notif.time_to_start_about_d_minutes_you_ve,"要开始啦~大概需要 %d 分钟,加油!","Time to start~ about %d minutes, you've got this!",ios_notif,
ios_notif.time_s_up_all_done,"时间到啦,完成了吗?","Time's up, all done?",ios_notif,
ios_notif.time_s_up_go_now,"时间到了,马上行动!","Time's up, go now!",ios_notif,
ios_notif.time_to_start_give_yourself_d_minutes,"该开始了!给自己 %d 分钟,专注去做。",Time to start! Give yourself %d minutes and focus.,ios_notif,
ios_notif.time_s_up_is_it_done,"时间到,完成了没有?","Time's up, is it done?",ios_notif,
ios_notif.ding_your_reminder_is_here,叮!你的专属提醒到啦~,Ding! Your reminder is here~,ios_notif,
ios_notif.go_time_about_d_minutes_let_s_go,"开工时间到~预计 %d 分钟,冲鸭!","Go time~ about %d minutes, let's go!",ios_notif,
ios_notif.time_s_up_all_set_no_slacking,"时间到啦,搞定了没?别偷懒哦~","Time's up, all set? No slacking~",ios_notif,
ios_notif.time_to_start,该开始了!(时长 ,Time to start! (,ios_notif,后接 durationMinutes + 分钟)
ios_notif.time_s_up_is_it_done_2,时间到 — 完成了吗?,Time's up — is it done?,ios_notif,
ios_notif.time_s_up,到时间了,Time's up,ios_notif,
ios_notif.daily_todo_digest,每日待办汇总,Daily Todo Digest,ios_notif,
ios_notif.no_tasks_today,今日暂无待办事项 🎉,No tasks today 🎉,ios_notif,
ios_notif.done,完成,Done,ios_notif,
ios_notif.snooze,稍等一会,Snooze,ios_notif,
ios_notif.reschedule,改期,Reschedule,ios_notif,
ios_notif.ignore,忽略,Ignore,ios_notif,
android_core_ai.couldn_t_parse_invalid_response_web,无法解析:返回格式异常:web_search 缺少 query,"Couldn't parse: invalid response, web_search is missing query",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_web_2,无法解析:返回格式异常:web_fetch 缺少 url,"Couldn't parse: invalid response, web_fetch is missing url",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_missing,无法解析:返回格式异常:缺少 actions,"Couldn't parse: invalid response, missing actions",android_core_ai,
android_core_ai.couldn_t_parse_couldn_t_find_the_task,无法解析:找不到要操作的事项,Couldn't parse: couldn't find the task to act on,android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_answer,无法解析:返回格式异常:回答内容为空,"Couldn't parse: invalid response, answer content is empty",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_unknown,无法解析:返回格式异常:未知 action,"Couldn't parse: invalid response, unknown action",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_missing_2,无法解析:返回格式异常:缺少 memory,"Couldn't parse: invalid response, missing memory",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_missing_3,无法解析:返回格式异常:缺少 summary,"Couldn't parse: invalid response, missing summary",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_missing_4,无法解析:返回格式异常:缺少 candidates,"Couldn't parse: invalid response, missing candidates",android_core_ai,
android_core_ai.couldn_t_parse_no_reschedule,无法解析:没有可用的改期候选,Couldn't parse: no reschedule suggestions available,android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_missing_5,无法解析:返回格式异常:缺少 insight,"Couldn't parse: invalid response, missing insight",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_format,无法解析:返回格式异常,Couldn't parse: invalid response format,android_core_ai,
android_core_ai.deepseek_request_failed_invalid,"调用 DeepSeek 失败:无效的服务地址,请到「设置」里检查 AI 服务商配置。",DeepSeek request failed: invalid endpoint. Check your AI provider settings.,android_core_ai,
android_core_ai.couldn_t_parse_invalid_response,无法解析:返回格式异常:时长超出范围,"Couldn't parse: invalid response, duration out of range",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_weekday,无法解析:返回格式异常:周几超出范围,"Couldn't parse: invalid response, weekday out of range",android_core_ai,
android_core_ai.couldn_t_parse_invalid_response_unknown_2,无法解析:返回格式异常:未知工具 ,"Couldn't parse: invalid response, unknown tool ",android_core_ai,后接工具名
android_core_ai.couldn_t_parse_invalid_time_format,无法解析:时间点格式异常:,Couldn't parse: invalid time format: ,android_core_ai,后接原始时间字符串
android_core_ai.deepseek_request_failed,调用 DeepSeek 失败:,DeepSeek request failed: ,android_core_ai,"前缀,后接原始错误信息"
android_core_ai.deepseek_api_key_not_configured_set_it,"未配置 DeepSeek API key,请到「设置」里填写。",DeepSeek API key not configured. Set it up in Settings.,android_core_ai,
android_core_ai.deepseek_request_failed_invalid_2,"调用 DeepSeek 失败:无效的服务地址,请到「设置」里检查 AI 服务商配置。",DeepSeek request failed: invalid endpoint. Check your AI provider settings.,android_core_ai,
android_core_ai.invalid_link,无效链接:,Invalid link: ,android_core_ai,后接原始 url
android_core_ai.failed_to_fetch_link_http,抓取链接失败:HTTP ,Failed to fetch link: HTTP ,android_core_ai,后接状态码
android_core_ai.web_search_failed_invalid_response,联网搜索失败:返回格式异常,Web search failed: invalid response format,android_core_ai,
android_core_ai.web_search_failed,联网搜索失败:,Web search failed: ,android_core_ai,"前缀,后接原始错误信息"
android_core_ai.couldn_t_parse,无法解析:,Couldn't parse: ,android_core_ai,"前缀,后接原始错误信息"
android_core_ai.today,今天,Today,android_core_ai,TimeFormat 相对日期词
android_core_ai.tomorrow,明天,Tomorrow,android_core_ai,TimeFormat 相对日期词
android_core_ai.yesterday,昨天,Yesterday,android_core_ai,TimeFormat 相对日期词
android_core_ai.daily,每天,Daily,android_core_ai,
android_core_ai.weekly,每周,Weekly ,android_core_ai,后接 weekday 列表
android_notif.due_reminders,到期提醒,Due Reminders,android_notif,
android_notif.nagging_reminders_for_due_tasks,事项到期的纠缠式提醒,Nagging reminders for due tasks,android_notif,
android_notif.daily_todo_digest,每日待办汇总,Daily Todo Digest,android_notif,
android_notif.time_s_up_please_take_care_of_it,"到时间了,请处理。","Time's up, please take care of it.",android_notif,
android_notif.time_to_start_set_aside_d_minutes,"该开始了,请预留 %d 分钟。",Time to start—set aside %d minutes.,android_notif,
android_notif.time_s_up_please_confirm_it_s_done,"时间已到,请确认完成情况。",Time's up—please confirm it's done.,android_notif,
android_notif.time_s_up_don_t_forget,"到时间啦,别忘了哦~","Time's up, don't forget~",android_notif,
android_notif.time_to_start_about_d_minutes_you_ve,"要开始啦~大概需要 %d 分钟,加油!","Time to start~ about %d minutes, you've got this!",android_notif,
android_notif.time_s_up_all_done,"时间到啦,完成了吗?","Time's up, all done?",android_notif,
android_notif.time_s_up_go_now,"时间到了,马上行动!","Time's up, go now!",android_notif,
android_notif.time_to_start_give_yourself_d_minutes,"该开始了!给自己 %d 分钟,专注去做。",Time to start! Give yourself %d minutes and focus.,android_notif,
android_notif.time_s_up_is_it_done,"时间到,完成了没有?","Time's up, is it done?",android_notif,
android_notif.ding_your_reminder_is_here,叮!你的专属提醒到啦~,Ding! Your reminder is here~,android_notif,
android_notif.go_time_about_d_minutes_let_s_go,"开工时间到~预计 %d 分钟,冲鸭!","Go time~ about %d minutes, let's go!",android_notif,
android_notif.time_s_up_all_set_no_slacking,"时间到啦,搞定了没?别偷懒哦~","Time's up, all set? No slacking~",android_notif,
android_notif.time_to_start,该开始了!(时长 ,Time to start! (,android_notif,后接 $durationMinutes 分钟)
android_notif.time_s_up_is_it_done_2,时间到 — 完成了吗?,Time's up — is it done?,android_notif,
android_notif.time_s_up,到时间了,Time's up,android_notif,
android_notif.no_tasks_today,今日暂无待办事项 🎉,No tasks today 🎉,android_notif,
android_notif.done,完成,Done,android_notif,
android_notif.snooze,稍等一会,Snooze,android_notif,
ios_view.icon_color,图标颜色,Icon Color,ios_view,
ios_view.morandi_color_palette_white_by_default,"莫兰迪色系,默认白色。",Morandi color palette; white by default.,ios_view,
ios_view.change_icon_failed,切换图标失败,Change Icon Failed,ios_view,
shared.white,白色,White,shared,"AppIconStyle 展示名,用 LocalizedStrings.translate 消费"
shared.pink,粉色,Pink,shared,
shared.green,绿色,Green,shared,
shared.brown,棕色,Brown,shared,
shared.blue,蓝色,Blue,shared,
shared.black,黑色,Black,shared,
android_ui.memory_tab,记忆,Memory,android_ui,
android_ui.memorize,收藏,Memorize,android_ui,
android_ui.search_memories,搜索收藏,Search memories,android_ui,
android_ui.no_memories_yet,还没有收藏,No memories yet,android_ui,
android_ui.no_matching_memories,没有匹配的收藏,No matching memories,android_ui,
android_ui.organizing,正在整理…,Organizing…,android_ui,
android_ui.organize_failed_tap_to_retry,"整理失败,点击重试","Organize failed, tap to retry",android_ui,
android_ui.input_text,输入文字,Input Text,android_ui,
android_ui.memory_compose_placeholder,"写点想收藏的内容,AI 会整理成记忆条目。",Write something to remember—AI will organize it into a memory entry.,android_ui,
android_ui.title,标题,Title,android_ui,
android_ui.tags_separated_by,"标签,用、分隔","Tags, separated by 、",android_ui,
android_ui.save,保存,Save,android_ui,
android_ui.retry,重试,Retry,android_ui,
android_ui.original_text,原文,Original Text,android_ui,
android_ui.delete_this_memory,删除这条收藏,Delete This Memory,android_ui,
android_ui.memorized,已收藏,Memorized,android_ui,
android_ui.memorize_this,收藏这条,Memorize This,android_ui,
android_ui.record_asset,记一笔资产,Record Asset,android_ui,
android_ui.record_contact,记一位人脉,Record Contact,android_ui,
android_ui.amount,金额,Amount,android_ui,
android_ui.currency,币种,Currency,android_ui,
android_ui.liability_principal_optional,负债本金(可选),Liability principal (optional),android_ui,
android_ui.annual_interest_rate_optional,年化利率%(可选),Annual interest rate % (optional),android_ui,
android_ui.nickname,昵称,Nickname,android_ui,
android_ui.phone,电话,Phone,android_ui,
android_ui.email,邮箱,Email,android_ui,
android_ui.birthday_yyyy_mm_dd,生日(YYYY-MM-DD),Birthday (YYYY-MM-DD),android_ui,
android_ui.preferences,喜好,Preferences,android_ui,
android_ui.assets,资产,Assets,android_ui,
android_ui.contacts,人脉,Contacts,android_ui,
android_ui.backup,备份,Backup,android_ui,
android_ui.export_backup,导出备份,Export Backup,android_ui,
android_ui.import_backup,导入备份,Import Backup,android_ui,
android_ui.backup_footer,"导出/导入待办与记忆(含资产/人脉)。导入是合并,已有的记录不会被覆盖。",Export/import todos and memories (including assets/contacts). Import merges—existing records are not overwritten.,android_ui,
android_ui.import_from_contacts,从通讯录导入,Import from Contacts,android_ui,
android_ui.export_to_contacts,导出到通讯录,Export to Contacts,android_ui,
shared.daily,每天,Daily,shared,
shared.weekly,每周,Weekly,shared,
android_ui.routine,定时任务,Routine,android_ui,
android_ui.routine_instruction,指令,Instruction,android_ui,
android_ui.routine_placeholder,"写一句到点要自动执行的指令,如""总结今日待办""","Write an instruction to run automatically, e.g. ""Summarize today's todos""",android_ui,
android_ui.trigger_time,触发时间,Trigger Time,android_ui,
android_ui.last_result_0,上次结果:{0},Last result: {0},android_ui,"运行时用 stringResource(id, arg) 传参;arg 是结果文本"
android_ui.last_run_0,上次执行 {0},Last ran {0},android_ui,"运行时用 stringResource(id, arg) 传参;arg 是 TimeFormat.format(lastRunAt)"
android_ui.delete_routine,删除定时任务,Delete Routine,android_ui,
android_ui.no_routines_yet,还没有定时任务,No routines yet,android_ui,
android_ui.manage_routines,管理定时任务,Manage Routines,android_ui,
android_ui.routine_footer,"到点自动跑一句自己写的指令(如""总结今日待办""),结果通过通知推送。","Runs a custom instruction on schedule (e.g. ""Summarize today's todos""); results are pushed as a notification.",android_ui,
android_ui.no_upcoming_reminders,暂无即将到来的提醒,No upcoming reminders,android_ui,
android_ui.contact_graph,关系图谱,Relationship Graph,android_ui,
android_ui.need_two_contacts,至少需要两位人脉才能画关系图谱。,You need at least two contacts to draw a relationship graph.,android_ui,
android_ui.tap_two_contacts_hint,点两个节点新建关系。,Tap two nodes to create a relationship.,android_ui,
android_ui.no_relationships_yet,还没有关系记录。,No relationships yet.,android_ui,
android_ui.relationship_label_placeholder,"关系,如同事、家人","Relationship, e.g. colleague, family",android_ui,
android_ui.relationship_default_label,认识,Acquainted,android_ui,
android_ui.on_device_ai,端上 AI(实验性),On-Device AI (Experimental),android_ui,
android_ui.tap_to_check_availability,点击检测是否可用,Tap to check availability,android_ui,
android_ui.available,可用,Available,android_ui,
android_ui.not_available_on_this_device,此设备不可用,Not available on this device,android_ui,
android_ui.check,检测,Check,android_ui,
android_ui.on_device_ai_footer,"基于 Gemini Nano,不联网、不需要 API key;目前处于实验阶段,只在少数机型可用。","Powered by Gemini Nano, no network or API key needed; currently experimental and only available on select devices.",android_ui,
android_notif.ignore,忽略,Ignore,android_notif,
android_ui.ignore,忽略,Ignore,android_ui,
android_ui.quiet_hours,免打扰时段,Quiet Hours,android_ui,
android_ui.quiet_hours_start,开始时间,Start Time,android_ui,
android_ui.quiet_hours_end,结束时间,End Time,android_ui,
android_ui.quiet_hours_footer,"开启后,免打扰时段内到期的提醒会推迟到时段结束后再通知;事项仍按时显示为到期,只是不弹通知打扰你。","When enabled, reminders due during quiet hours are delayed until the window ends; tasks still show as due on time — only the notification itself is delayed.",android_ui,
ios_view.value_with_parenthetical,%@(%@),%@ (%@),ios_view,回填:此前只存在于 Xcode 同步的字符串目录里
ios_view.unpin,取消常驻,Unpin,ios_view,回填:此前只存在于 Xcode 同步的字符串目录里
ios_view.navigation,导航,Navigation,ios_view,回填:此前只存在于 Xcode 同步的字符串目录里
ios_view.pin,常驻,Pin,ios_view,回填:此前只存在于 Xcode 同步的字符串目录里
ios_view.more_tags,更多标签,More Tags,ios_view,回填:此前只存在于 Xcode 同步的字符串目录里
ios_view.question_n_of_m,第 %lld / %lld 题,Question %lld of %lld,ios_view,回填:此前只存在于 Xcode 同步的字符串目录里
ios_core.health_steps,步数,Steps,ios_core,
ios_core.health_active_energy,活动能量,Active Energy,ios_core,
ios_core.health_exercise_minutes,锻炼时长,Exercise Time,ios_core,
ios_core.health_sleep,睡眠时长,Sleep,ios_core,
ios_core.health_resting_heart_rate,静息心率,Resting Heart Rate,ios_core,
ios_core.health_hrv,心率变异性,Heart Rate Variability,ios_core,
ios_core.health_body_mass,体重,Body Mass,ios_core,
ios_core.health_unit_steps,步,steps,ios_core,指标单位
ios_core.health_unit_kcal,千卡,kcal,ios_core,指标单位
ios_core.health_unit_minutes,分钟,min,ios_core,指标单位
ios_core.health_unit_hours,小时,h,ios_core,指标单位
ios_core.health_unit_bpm,次/分,bpm,ios_core,指标单位
ios_core.health_unit_ms,毫秒,ms,ios_core,指标单位
ios_core.health_unit_kg,公斤,kg,ios_core,指标单位
ios_core.invalid_response_read_health_is_missing,返回格式异常:read_health 缺少 days,Invalid response: read_health is missing days,ios_core,
ios_core.invalid_response_missing_analysis,返回格式异常:缺少 analysis,Invalid response: missing analysis,ios_core,
ios_core.health_trend_chart_suffix,趋势图, trend chart,ios_core,拼在指标名后面作为图表的旁白标签
ios_view.health,健康,Health,ios_view,侧栏导航行 / 页面标题 / 总览页板块
ios_view.health_analysis,健康分析,Health Analysis,ios_view,
ios_view.health_analysis_off,健康分析未开启,Health Analysis Is Off,ios_view,
ios_view.health_analysis_off_desc,"开启后 lodo 会读取步数、睡眠、心率等数据,在本机汇总成趋势;只有汇总统计会发给 AI,原始记录不会离开这台设备。","Once enabled, lodo reads steps, sleep, heart rate and more, and summarizes trends on this device. Only aggregate statistics are sent to the AI provider — raw records never leave this device.",ios_view,
ios_view.enable_health_analysis,开启健康分析,Enable Health Analysis,ios_view,
ios_view.no_health_data,暂无健康数据,No Health Data Yet,ios_view,
ios_view.no_health_data_desc,"可能是还没授权,或者这段时间没有记录。可以到系统「设置 → 隐私与安全性 → 健康」里检查 lodo 的权限。","Either access hasn't been granted, or there are no records for this period. Check lodo's permissions in Settings → Privacy & Security → Health.",ios_view,"HealthKit 不告诉 app 读权限被拒,两种可能共用一句文案"
ios_view.request_access_again,重新请求权限,Request Access Again,ios_view,
ios_view.reading_health_data,正在读取健康数据…,Reading health data…,ios_view,
ios_view.last_n_days,最近 %lld 天,Last %lld days,ios_view,占位符是天数
ios_view.daily_average_value,日均 %@ %@,%@ %@ daily avg,ios_view,数值 + 单位
ios_view.value_with_unit,%@ %@,%@ %@,ios_view,数值 + 单位
ios_view.trend,趋势,Trend,ios_view,
ios_view.metric,指标,Metric,ios_view,
ios_view.date,日期,Date,ios_view,图表坐标轴
ios_view.value,数值,Value,ios_view,图表坐标轴
ios_view.ai_analysis,AI 分析,AI Analysis,ios_view,
ios_view.analyzing,正在分析…,Analyzing…,ios_view,
ios_view.health_analysis_needs_ai,"配置 AI 服务后,这里会给出针对这几天数据的分析和建议。",Set up an AI provider and you'll get analysis and suggestions for these days here.,ios_view,
ios_view.health_records,健康记录,Health Records,ios_view,
ios_view.no_health_records,"还没有健康记录。体检报告、用药、饮食这些可以记一笔,AI 分析时会一并参考。","No health records yet. Jot down checkups, medication or meals and the AI analysis will take them into account.",ios_view,
ios_view.add_a_note,记一笔,Add a Note,ios_view,
ios_view.untitled,未命名,Untitled,ios_view,
ios_view.rising,上升,Rising,ios_view,趋势箭头的旁白
ios_view.falling,下降,Falling,ios_view,趋势箭头的旁白
ios_view.days_to_look_back,回看天数,Days to Look Back,ios_view,
ios_view.7_days,7 天,7 days,ios_view,
ios_view.14_days,14 天,14 days,ios_view,
ios_view.30_days,30 天,30 days,ios_view,
ios_view.request_health_access_again,重新请求健康权限,Request Health Access Again,ios_view,
ios_view.health_settings_footer,"开启后「健康」页会读取步数、睡眠、心率等数据,在本机汇总成趋势。只有汇总统计(日均、最近一天、环比变化)会发给你选择的 AI 服务商,逐条原始记录不会离开这台设备;关闭后这一页不发任何请求。撤销授权请到系统「设置 → 隐私与安全性 → 健康」。","When enabled, the Health page reads steps, sleep, heart rate and more, and summarizes trends on this device. Only aggregate statistics (daily averages, the latest day, period-over-period change) are sent to your chosen AI provider — raw records never leave this device. Turn it off and this page makes no requests at all. To revoke access, go to Settings → Privacy & Security → Health.",ios_view,
ios_core.travel_flight,航班,Flight,ios_core,行程项类型
ios_core.travel_lodging,住宿,Lodging,ios_core,行程项类型
ios_core.travel_place,地点,Place,ios_core,行程项类型
ios_core.invalid_response_read_trip_is_missing,返回格式异常:read_trip 缺少 name,Invalid response: read_trip is missing name,ios_core,
ios_core.invalid_response_missing_items,返回格式异常:缺少 items,Invalid response: missing items,ios_core,
ios_view.travel,旅行,Travel,ios_view,
ios_view.no_trips_yet,还没有旅行,No Trips Yet,ios_view,
ios_view.no_trips_desc,"建一次旅行,把航班、住宿、想去的地方都放进去,可以按天看,也可以看花了多少。","Create a trip and put your flights, lodging and places into it — view it day by day, or see what it cost.",ios_view,
ios_view.new_trip,新建旅行,New Trip,ios_view,
ios_view.edit_trip,编辑旅行,Edit Trip,ios_view,
ios_view.trip_ongoing,进行中,Ongoing,ios_view,
ios_view.trip_upcoming,即将出发,Upcoming,ios_view,
ios_view.trip_past,已结束,Past,ios_view,
ios_view.untitled_trip,未命名旅行,Untitled Trip,ios_view,
ios_view.trip_where,"去哪儿,如 东京四日",Where to? e.g. Four Days in Tokyo,ios_view,
ios_view.depart,出发,Depart,ios_view,
ios_view.return_date,返程,Return,ios_view,
ios_view.return_before_depart,"返程早于出发,改一下才能保存。",The return date is before the departure date. Fix it to save.,ios_view,
ios_view.delete_trip_question,删除这次旅行?,Delete this trip?,ios_view,
ios_view.delete_trip_message,这次旅行下面的航班、住宿、地点会一起删掉(它们同时是记忆条目)。,"Its flights, lodging and places go too — they are memory entries as well.",ios_view,
ios_view.trip_row_summary,%@ · %lld 天 · %lld 项,%@ · %lld days · %lld items,ios_view,
ios_view.view_mode,视图,View,ios_view,
ios_view.by_day,按天,By Day,ios_view,
ios_view.map,地图,Map,ios_view,
ios_view.price,价格,Price,ios_view,
ios_view.trip_items,行程项,Items,ios_view,
ios_view.no_itinerary,还没有行程,Nothing Planned Yet,ios_view,
ios_view.no_itinerary_desc,"右上角「+」手动加一条,或者把订票邮件贴进来让 AI 拆。","Add one with “+”, or paste a booking email and let the AI split it up.",ios_view,
ios_view.add_manually,手动添加,Add Manually,ios_view,
ios_view.import_from_order,从订单导入,Import from Booking,ios_view,
ios_view.add_itinerary,添加行程,Add Itinerary,ios_view,
ios_view.nothing_this_day,这天还没安排,Nothing planned for this day,ios_view,
ios_view.add_on_this_day,在这天添加行程,Add to this day,ios_view,
ios_view.day_n_title,第 %lld 天 · %@,Day %lld · %@,ios_view,
ios_view.outside_trip_dates,行程日期之外,Outside Trip Dates,ios_view,
ios_view.outside_trip_dates_footer,"这些行程项的时间不在这次旅行的日期范围里。改一下旅行日期,或者改这一项的时间。","These fall outside the trip's date range. Adjust the trip dates, or this item's time.",ios_view,
ios_view.unscheduled,未排期,Unscheduled,ios_view,
ios_view.no_map_pins,地图上还没有点,No Pins Yet,ios_view,
ios_view.no_map_pins_desc,"给行程项填地点时点「搜索」选一下,才会记下坐标画到地图上。",Tap “Search” when filling in a place so its coordinates get saved and pinned.,ios_view,
ios_view.total_spend,总花费,Total Spend,ios_view,
ios_view.total,合计,Total,ios_view,
ios_view.by_currency,按币种,By Currency,ios_view,
ios_view.spend_footer,"按「设置 → 资产显示币种」折算,汇率与资产总览共用同一份。",Converted using Settings → Asset display currency; same rates as the asset overview.,ios_view,
ios_view.no_spend_yet,还没有记过花费,No Spending Recorded,ios_view,
ios_view.no_spend_yet_desc,"给行程项填上金额,这里就会按币种和类型汇总。",Add amounts to your itinerary items and they'll be totalled here by currency and type.,ios_view,
ios_view.remove_from_trip,移出行程,Remove from Trip,ios_view,
ios_view.kind,类型,Type,ios_view,
ios_view.flight_title_prompt,"航空公司/航段,如 国航 北京–东京","Airline / leg, e.g. Air China Beijing–Tokyo",ios_view,
ios_view.lodging_title_prompt,"住宿名称,如 新宿王子酒店","Lodging name, e.g. Shinjuku Prince Hotel",ios_view,
ios_view.place_title_prompt,"地点名称,如 浅草寺","Place name, e.g. Sensō-ji",ios_view,
ios_view.flight_code_prompt,航班号(可选),Flight number (optional),ios_view,
ios_view.booking_code_prompt,订单号/房号(可选),Booking / room number (optional),ios_view,
ios_view.origin,出发地,From,ios_view,
ios_view.destination,到达地,To,ios_view,
ios_view.place,地点,Place,ios_view,
ios_view.search,搜索,Search,ios_view,
ios_view.coordinate_saved,已记录坐标,Coordinates saved,ios_view,
ios_view.place_footer,"点「搜索」选地点才会记下坐标,地图上才画得出这个点;只手打名字也能存,只是不上地图。",Pick a place via “Search” to save coordinates for the map; a typed name saves fine but won't be pinned.,ios_view,
ios_view.departure_time,起飞时间,Departure,ios_view,
ios_view.arrival_time,降落时间,Arrival,ios_view,
ios_view.check_in,入住,Check-in,ios_view,
ios_view.check_out,退房,Check-out,ios_view,
ios_view.start_time,开始时间,Starts,ios_view,
ios_view.end_time,结束时间,Ends,ios_view,
ios_view.end_before_start,"结束时间早于开始时间,改一下才能保存。",The end time is before the start time. Fix it to save.,ios_view,
ios_view.lodging_time_footer,"填了入住和退房,这家住宿会出现在住的每一晚里(退房当天不算)。","With check-in and check-out set, this lodging shows on every night you stay (not the checkout day).",ios_view,
ios_view.time_optional_footer,"不填时间也能存,会收进「未排期」。",You can save without a time — it goes under “Unscheduled”.,ios_view,
ios_view.spend,花费,Spend,ios_view,
ios_view.add_itinerary_title,添加行程,Add Itinerary,ios_view,
ios_view.edit_itinerary_title,编辑行程,Edit Itinerary,ios_view,
ios_view.order_content,订单内容,Booking Text,ios_view,
ios_view.order_paste_prompt,"把订票邮件、酒店确认信或行程单贴进来,AI 会拆成航班/住宿/地点。","Paste a booking email, hotel confirmation or itinerary — the AI splits it into flights, lodging and places.",ios_view,
ios_view.order_confirm_footer,"解析出来的每一条都会先让你过一眼,确认后才写进行程。",You review everything it finds before any of it is written to the trip.,ios_view,
ios_view.parse_result,解析结果,What It Found,ios_view,
ios_view.parse_result_footer,"取消勾选的不会写进行程。日期或金额不对的,先存下来再到行程里改。","Unchecked items aren't added. If a date or amount is off, save it and fix it in the trip.",ios_view,
ios_view.write_to_trip,写入行程,Add to Trip,ios_view,
ios_view.parse_action,解析,Parse,ios_view,
ios_view.parsing,解析中…,Parsing…,ios_view,
ios_view.nothing_parsed,"没从这段文字里读出行程项。换一段更完整的订单内容试试,或者直接手动添加。","Couldn't find any itinerary items in that text. Try a fuller booking text, or add one manually.",ios_view,
ios_view.pick_place,选择地点,Pick a Place,ios_view,
ios_view.search_place,搜索地点,Search places,ios_view,
ios_view.searching,正在搜索…,Searching…,ios_view,
ios_view.search_failed,"搜索失败,检查一下网络再试。",Search failed. Check your connection and try again.,ios_view,
ios_view.place_not_found,没有找到这个地方。,No places found.,ios_view,
ios_view.missing_rates_note,"以下币种暂时换不到汇率,没有计入合计:%@","No exchange rate available for these currencies yet, so they're not in the total: %@",ios_view,占位符是币种列表
ios_core.flight_status_scheduled,计划中,Scheduled,ios_core,航班动态状态
ios_core.flight_status_check_in,值机中,Check-in open,ios_core,航班动态状态
ios_core.flight_status_boarding,登机中,Boarding,ios_core,航班动态状态
ios_core.flight_status_gate_closed,登机口已关闭,Gate closed,ios_core,航班动态状态
ios_core.flight_status_departed,已起飞,Departed,ios_core,航班动态状态
ios_core.flight_status_delayed,延误,Delayed,ios_core,航班动态状态
ios_core.flight_status_arrived,已到达,Arrived,ios_core,航班动态状态
ios_core.flight_status_canceled,已取消,Canceled,ios_core,航班动态状态
ios_core.flight_status_diverted,备降,Diverted,ios_core,航班动态状态
ios_view.flight_detail_edit,编辑,Edit,ios_view,航班动态
ios_view.flight_arrive,到达,Arrival,ios_view,航班动态
ios_view.flight_model,机型,Model,ios_view,航班动态
ios_view.flight_delay_about,晚点约 %lld 分钟,About %lld min late,ios_view,航班动态
